Year,5 min,10 min,15 min,30 min,1 hr,2 hr,6 hr,12 hr,24 hr
1961,4.18,5.13,6.22,8.26,17.34,31.26,36.36,63.72,101.54
1962,1.41,4,8.17,17.19,16.75,21.21,44.89,48.76,146.86
1963,2.42,7.23,5.35,9,22.34,46.59,31.5,69.47,105.63
1964,1.56,5.7,2.71,9.11,14.89,25.05,50.48,61.44,109.18
1965,2.05,2.69,6.28,7.52,16.64,28.19,32.41,63.33,46.46
1966,1.93,5.64,5.6,10.12,15.63,30.65,38.43,67.3,76.21
1967,1.96,7.38,4.53,8.09,14.32,27.93,38.29,59.67,101.47
1968,2.08,3.87,6.53,10.46,13.32,39.31,40.77,45.65,58.74
1969,1.23,4.27,2.44,8.72,20.25,27.98,41.66,48.96,64.65
1970,1.47,5.95,5.86,7.62,18.65,24.05,30.64,61.32,88.72
1971,1.74,4.23,2.77,11.07,15.76,35.83,65.5,44.96,126.31
1972,2.02,2.92,7.09,14.38,12.56,19.22,32.94,45.12,86.32
1973,0.83,5,4.85,9.17,19.05,31.48,43.18,58.64,80.35
1974,2.99,3.04,9.21,7.53,18.66,30.77,48.85,62.1,61.22
1975,5.27,4.61,6.56,5.72,17.53,35.97,28.39,45.25,78.47
1976,2.64,5.26,3.21,6.83,20.38,34.03,32.2,37.15,102.45
1977,2.25,5.66,5.27,8.69,12.78,20.59,48.15,83.18,124.85
1978,0.42,4.23,6.69,5.77,21.7,36.39,37.66,36.57,67.5
1979,0.97,3.12,4.88,9.03,13.75,30.92,33.65,63.35,71.25
1980,2.1,5.58,10.9,12.84,14.61,51.12,58.01,43.79,77.65
1981,1.56,4.43,4.59,11.13,21.34,34.94,42.2,76.03,73.59
1982,0.36,1.67,3.23,9.28,23.37,30.1,34.21,37.54,77.29
1983,2.42,4.7,1.89,5.65,11.87,33.15,28.4,50.15,68.4
1984,1.05,3.42,6.38,8.66,12.91,21.08,49.43,91.09,144.71
1985,0.86,4.83,3.32,4.63,14.82,30.66,35.21,74.91,65.99
1986,3.52,2.73,4.76,7.95,19.48,41.79,46.37,39.65,105.02
1987,2.15,2.62,2.83,4.93,15.05,26.6,46.36,60.29,57.88
1988,1.92,1.74,8.35,9.66,25.17,43.59,38.74,44.93,122.36
1989,2.02,7.59,9.17,18.21,24.46,27.25,38.37,60.53,104.65
1990,1.85,3.7,11.33,13.28,11.31,32.84,31.99,36.39,75.42
1991,3.99,2.41,6.47,9.13,11.97,27.08,42.46,60.14,169.07
1992,3.34,3.71,3.69,10.22,34.37,30.21,38.32,44.7,47.35
1993,3.23,4.95,5.13,16.31,29.35,39.54,34.15,62.56,67.79
1994,0.47,2.09,5.84,16.92,12.67,29.54,71.19,47.11,143.32
1995,2.12,1.35,1.83,7.84,14.12,38.13,29.41,49.67,82.85
1996,4.69,7.32,8.49,9.87,15.05,28.12,39.79,54.29,73.26
1997,1.03,3.65,8.28,17.17,18.14,40.59,44.99,51.66,73.84
1998,2.31,3.24,3.71,18.73,18.32,38.79,70.21,70.25,113.54
1999,2.15,2.88,6.28,8.07,18.41,28.79,44.24,50.62,72.34
2000,2.22,1.44,4.79,15.26,18.22,26.15,52.42,42.6,107.45
2001,2.52,2.5,7.97,10.72,16.93,26.4,29.81,56.3,64.1
2002,5,7.62,5.75,7.51,14.4,33.43,51.15,50.4,89.04
2003,0.64,3.57,12.2,19.83,13.3,38.57,45.4,39.87,73.25
2004,3.05,5.52,7.14,6.46,15.61,35.17,48.93,63.49,98.63
2005,1.14,3.17,2.1,9.47,21.26,33.25,42.48,64.56,105.11
2006,1.96,5.26,3.09,6.89,17.94,39.73,30.15,38.15,93.87
2007,0.24,2.19,4.27,8.75,29.27,21.25,29.98,38.33,67.41
2008,1.55,2.39,4.3,8.76,27.16,31.26,56.4,57.69,72.84
2009,3.14,2.93,10.17,13.18,22.13,35.99,39.49,66.37,101.5
2010,4.97,3.51,8.52,9.99,19.06,29.41,25.29,49.94,65.24
2011,1.93,2.66,4.43,10.64,16.76,35.04,30.79,43.3,61.74
2012,1.97,2.59,6.32,9.77,18.06,32.24,41.69,69.99,97.71
2013,4.92,3.93,4.8,6.11,14.23,21.1,45.25,39.97,55.54
2014,0.67,3.24,3.95,9.28,17.26,40.37,62.05,48.46,41.19
2015,0.54,3.99,6.96,15.8,28.13,23.64,36.65,48.42,92.02
2016,2.98,2.41,5.35,7.91,12.81,25.15,60.17,73.08,79.55
2017,1.04,5.24,2.88,11.2,18.21,38.54,41.25,76.8,82.04
2018,1.18,4.46,4.5,9.57,15.53,40.62,37.48,30.33,111.31
2019,2.14,3.92,9,7.15,15.2,44.66,36.59,69.68,97.8
2020,2.37,2.3,4.67,7.56,17.82,35.03,40.7,43.43,66.7
